auctioneer_url,lat,lng,state,city,zip,address,auctions
https://www.liveauctioneers.com/auctioneer/1174/elite-decorative-arts/,26.5498,-80.0767,FL,Boynton Beach,33426,1010 Gateway Blvd Suite 101,95.0
https://www.liveauctioneers.com/auctioneer/1183/a-1-auction/,28.5777,-81.4275,FL,Orlando,32808,3724 Silver Star Road,51.0
https://www.liveauctioneers.com/auctioneer/1186/denise-ryan-auctions/,42.9651,-71.4217,NH,Manchester,03109,289 South Mammoth Rd,141.0
https://www.liveauctioneers.com/auctioneer/119/posterconnection-inc/,37.9246,-121.923,CA,Clayton,94517,43 Regency Drive,19.0
https://www.liveauctioneers.com/auctioneer/1201/gallery-95-auction/,32.2936,-81.0761,SC,Hardeeville,29927,24022 Whyte Hardee Blvd.,41.0
https://www.liveauctioneers.com/auctioneer/1211/empire-estates-and-auctions-llc/,33.4698,-111.927,AZ,Scottsdale,85257,2012 Scottsdale Road,18.0
https://www.liveauctioneers.com/auctioneer/1212/cedarburg-auction-and-appraisals-llc/,43.3222,-87.9885,WI,Brown Deer,53223,4701 W Schroeder Drive,44.0
https://www.liveauctioneers.com/auctioneer/1215/smrj-auctions/,34.047024,-118.253142,CA,Los Angeles,90014,606 South Hill Street Suite 607,553.0
https://www.liveauctioneers.com/auctioneer/1220/klein-james-seattle-auction-gallery/,47.6443,-122.345,WA,Seattle,98116,4000 58th Place SW,90.0
https://www.liveauctioneers.com/auctioneer/1221/roland-ny/,40.8692,-73.6299,NY,Glen Cove,11542,150 School Street,240.0
https://www.liveauctioneers.com/auctioneer/1225/martin-auction-co/,37.4645,-89.2228,IL,Anna,62906,100 Lick Creek Road PO Box 2,175.0
https://www.liveauctioneers.com/auctioneer/1244/american-antique-auctions/,39.8783,-75.064,NJ,Haddon Heights,08035,418 4th Ave ,23.0
https://www.liveauctioneers.com/auctioneer/1245/ivey-selkirk-auctioneers/,38.6495,-90.3298,MO,Saint Louis,63105,7447 Forsyth Boulevard ,44.0
https://www.liveauctioneers.com/auctioneer/1250/embassy-auctions-international/,39.9832,-76.0185,PA,Kinzers,17535,5336 Mine Road,95.0
https://www.liveauctioneers.com/auctioneer/1257/tim-s-inc-auctions/,41.6974,-72.904,CT,Bristol,06010,1185 Farmington Ave (RT. 6),40.0
https://www.liveauctioneers.com/auctioneer/1261/ra-difillipo-auctions/,42.5223,-70.9256,MA,Peabody,01960,41 Washington St,35.0
https://www.liveauctioneers.com/auctioneer/1263/auctions-unlimited/,32.3999,-93.8047,LA,Shreveport,71118,2833 Summer Grove Dr.,10.0
https://www.liveauctioneers.com/auctioneer/1265/saco-river-auction/,43.5913,-70.3334,ME,Scarborough,04074,27 Gorham Rd Suite 212,210.0
https://www.liveauctioneers.com/auctioneer/1276/hudson-valley-auctioneers-llc-beacon-ny/,41.5028,-73.9654,NY,Beacon,12508,432 Main Street,97.0
https://www.liveauctioneers.com/auctioneer/1281/purcell-auction-gallery/,37.0299,-88.5886,KY,Paducah,42003,2156 Husbands Rd.,60.0
https://www.liveauctioneers.com/auctioneer/1290/estate-auction-company/,26.052,-80.1441,FL,Dania Beach,33004,6 S. Federal Hwy,125.0
https://www.liveauctioneers.com/auctioneer/1291/antiek-journeys-inc/,43.1612,-77.5825,NY,Rochester,14609,1115 East Main Street,5.0
https://www.liveauctioneers.com/auctioneer/1293/kennedys-auction-service-llc/,35.1952,-88.5054,TN,Selmer,38375,P.O. Box 9 4872 Hwy 64 East,41.0
https://www.liveauctioneers.com/auctioneer/1294/cagle-auction-co/,33.938,-83.4773,GA,Bogart,30622,130 Commerce Blvd,11.0
https://www.liveauctioneers.com/auctioneer/1296/omaha-auction-center/,41.2592,-96.0303,NE,Omaha,68114,7531 Dodge Street,26.0
https://www.liveauctioneers.com/auctioneer/130/san-rafael-auction-gallery/,37.963147,-122.488299,CA,San Rafael,94901,634 Fifth Avenue San Rafael,71.0
https://www.liveauctioneers.com/auctioneer/1300/cady-auction-gallery-and-appraisal/,41.9937,-91.667,IA,Cedar Rapids,52402,833 Shaver Road Northeast,9.0
https://www.liveauctioneers.com/auctioneer/1301/fox-auctions/,38.033,-122.267,CA,Rodeo,94572,P.O. Box 693,49.0
https://www.liveauctioneers.com/auctioneer/1308/cates-auction-and-realty-co-inc/,38.9305,-94.3109,MO,N. Kansas City,64116,1440 Iron St.,2.0
https://www.liveauctioneers.com/auctioneer/1328/main-auction-galleries/,39.0993,-84.5156,OH,Cincinnati,45202,137 West 4th St,67.0
https://www.liveauctioneers.com/auctioneer/1335/antique-reader-inc/,40.7547,-73.937,NY,Flushing,11355,41-06 Delong St Unit 1007,107.0
https://www.liveauctioneers.com/auctioneer/1338/danny-s-auction/,44.9808,-92.9817,MN,Oakdale,55128,2207 Gentry Avenue N.,17.0
https://www.liveauctioneers.com/auctioneer/1339/tom-hall-auctions-inc/,40.6693,-75.6084,PA,Schnecksville,18078,4644 Rt. 309 PO Box 310,44.0
https://www.liveauctioneers.com/auctioneer/135/signature-house/,34.10426,-117.668943,CA,UPLAND,91786,818 N. MOUNTAIN AVE #201,35.0
https://www.liveauctioneers.com/auctioneer/1350/vero-beach-auction/,27.6108,-80.3893,FL,Vero Beach,32962,492 Old Dixie Highway,97.0
https://www.liveauctioneers.com/auctioneer/1353/sterling-associates/,40.9815,-73.9581,NJ,Norwood,07648,537 Broadway,74.0
https://www.liveauctioneers.com/auctioneer/1354/river-valley-auction/,41.5249,-74.2348,NY,Montgomery,12549,40 Railroad Ave.,50.0
