title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
NAZI PORCELAIN MAN &amp; WOMAN SLEDDING FIGURINE W/SWASTIKA,"Sep 25, 2013",,Home &amp; Décor > Decorative Objects > Figurines &amp; Miniatures > Figurines &amp; Statuettes,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335773_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335773_nazi-porcelain-man-and-woman-sledding-figurine-wswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI PERIOD VETERANS ASSN MEMBERS STICKPIN-MARKED-IRON,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335781_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335781_nazi-period-veterans-assn-members-stickpin-marked-iron,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WEHRMACHT PANZER ASSAULT TANK AWARD BADGE -MARKED,"Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335803_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335803_nazi-wehrmacht-panzer-assault-tank-award-badge-marked,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1936 NAZI MEDAL GAUTAG HESSEN W/LARGE EAGLE &amp; SWASTIKA-,"Sep 25, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335835_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335835_1936-nazi-medal-gautag-hessen-wlarge-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"1942 NAZI POLICE BADGE-EAGLE/SWASTIKA MARKED ""82""","Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335861_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335861_1942-nazi-police-badge-eagleswastika-marked-82,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 1936 TAG DER ARBEIT BADGE-EAGLE/SWASTIKA-BRASS,"Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335889_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335889_nazi-1936-tag-der-arbeit-badge-eagleswastika-brass,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1939 NAZI MAY DAY MEDAL MAIDEN W/SWASTIKA -MAKER MKD,"Sep 25, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335915_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335915_1939-nazi-may-day-medal-maiden-wswastika-maker-mkd,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG DAF NAZI CAP INSIGNIA-DEUTSCHES ARBEITS FRONT-GEAR,"Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335933_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335933_orig-daf-nazi-cap-insignia-deutsches-arbeits-front-gear,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI INFANTRY ASSAULT BADGE FOR WEHRMACHT-ORIG,"Sep 25, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20335949_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20335949_nazi-infantry-assault-badge-for-wehrmacht-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI BLACK WOUND BADGE ORIGINAL,"Sep 25, 2013",$40,Collectibles > Historical Memorabilia,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336101_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336101_nazi-black-wound-badge-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
