title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
"Military WWII German Pin Badges (3), Nat. Soc.","May 14, 2021",$175,,Internet Bid,Rich Penn Auctions,https://p1.liveauctioneers.com/406/198025/100070619_1_x.jpg?quality=80&version=1620838470,https://www.liveauctioneers.com/item/100070619_military-wwii-german-pin-badges-3-nat-soc,https://www.liveauctioneers.com/auctioneer/406/rich-penn-auctions/
World War two German Belt Buckle,"Apr 10, 2021",$150,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,Dave Taylor's Civil War Antiques Online Auctions,https://p1.liveauctioneers.com/6568/197785/100134657_1_x.jpg?quality=80&version=1616372492,https://www.liveauctioneers.com/item/100134657_world-war-two-german-belt-buckle,https://www.liveauctioneers.com/auctioneer/6568/dave-taylor-s-civil-war-antiques-online-auctions/
"LARGE GERMAN WW2 NAZI BANNER, FLAG w. SWASTIKA","Apr 17, 2021",$380,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271694_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271694_large-german-ww2-nazi-banner-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
LARGE GERMAN WW2 NAZI PODIUM FLAG w. SWASTIKA,"Apr 17, 2021",,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271695_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271695_large-german-ww2-nazi-podium-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
GERMAN WWII NAZI NSDAP BANNER w. SWASTIKA,"Apr 17, 2021",$260,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271696_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271696_german-wwii-nazi-nsdap-banner-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
RARE GERMAN WWII NAZI NSDAP BANNER w. SWASTIKA,"Apr 17, 2021",$420,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271697_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271697_rare-german-wwii-nazi-nsdap-banner-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
WWII German SS 12 Year Service Swastika medal with,"Apr 01, 2021",$140,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Embassy Auctions International,https://p1.liveauctioneers.com/1250/198550/100330261_1_x.jpg?quality=80&version=1616618555,https://www.liveauctioneers.com/item/100330261_wwii-german-ss-12-year-service-swastika-medal-with,https://www.liveauctioneers.com/auctioneer/1250/embassy-auctions-international/
WWII GERMAN NAZI PARTY SWASTIKA ENAMEL STICKPIN,"Apr 17, 2021",$20,,Internet Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/193233/100350673_1_x.jpg?quality=80&version=1617038501,https://www.liveauctioneers.com/item/100350673_wwii-german-nazi-party-swastika-enamel-stickpin,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
WWII GERMAN NAZI PARTY SWASTIKA ENAMEL STICKPIN,"Apr 17, 2021",$30,,Internet Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/193233/100350674_1_x.jpg?quality=80&version=1617038501,https://www.liveauctioneers.com/item/100350674_wwii-german-nazi-party-swastika-enamel-stickpin,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
WWII GERMAN NAZI PARTY SWASTIKA ENAMEL GILDED STICKPIN,"Apr 17, 2021",$45,,Internet Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/193233/100350675_1_x.jpg?quality=80&version=1617038501,https://www.liveauctioneers.com/item/100350675_wwii-german-nazi-party-swastika-enamel-gilded-stickpin,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
WWII NAZI GERMAN NSDAP POSTAL MARKED FLAG WW2,"Apr 17, 2021",$210,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531311_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531311_wwii-nazi-german-nsdap-postal-marked-flag-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP WALL BANNER OR FLAG WW2,"Apr 17, 2021",$150,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531312_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531312_wwii-nazi-german-nsdap-wall-banner-or-flag-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN CANTED SWASTIKA BROOCH WW2,"Apr 17, 2021",$110,Jewelry > Brooches &amp; Pins,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531339_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531339_wwii-nazi-german-canted-swastika-brooch-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP RLB ARMBAND LOT WW2,"Apr 17, 2021",$180,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531367_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531367_wwii-nazi-german-nsdap-rlb-armband-lot-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP FUNERAL BANNER SASH WW2,"Apr 17, 2021",$150,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531373_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531373_wwii-nazi-german-nsdap-funeral-banner-sash-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP FLAG OR BANNER LOT OF 2 WW2,"Apr 17, 2021",$190,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531374_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531374_wwii-nazi-german-nsdap-flag-or-banner-lot-of-2-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WW2 NAZI GERMAN MEDAL LOT HEER LUFTWAFFE INSIGNIA,"Apr 17, 2021",$300,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531429_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531429_ww2-nazi-german-medal-lot-heer-luftwaffe-insignia,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN WEHRMACHT M44 TRAPEZOID CAP EAGLE,"Apr 17, 2021",$180,Collectibles > Weapons &amp; Armor,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531437_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531437_wwii-nazi-german-wehrmacht-m44-trapezoid-cap-eagle,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN OFFICER'S BREAST EAGLE LOT WW2,"Apr 17, 2021",$160,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531452_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531452_wwii-nazi-german-officer-s-breast-eagle-lot-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN REICHSBAHN OFFICER'S BELT BUCKLE,"Apr 17, 2021",$170,Collectibles > Weapons &amp; Armor,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531453_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531453_wwii-nazi-german-reichsbahn-officer-s-belt-buckle,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GOLDEN HITLER YOUTH MEMBER'S HONOR BADGE,"Apr 17, 2021",$180,Collectibles > Weapons &amp; Armor,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531456_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531456_wwii-nazi-golden-hitler-youth-member-s-honor-badge,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN HEER KUBAN CAMPAIGN SHIELD MINT,"Apr 17, 2021",$170,Collectibles,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531466_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531466_wwii-nazi-german-heer-kuban-campaign-shield-mint,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP AWNING FLAG OR BANNER WW2,"Apr 17, 2021",$190,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531502_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531502_wwii-nazi-german-nsdap-awning-flag-or-banner-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
PRE WWII NAZI GERMAN SWASTIKA HOOD ORNAMENT DRGM,"Apr 17, 2021",$150,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531503_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531503_pre-wwii-nazi-german-swastika-hood-ornament-drgm,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP PENNANT FLAG WW2,"Apr 17, 2021",$230,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531524_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531524_wwii-nazi-german-nsdap-pennant-flag-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NSDAP FLAG PIN &amp; POCKET WATCH TRODDEL FOBS,"Apr 17, 2021",$70,Jewelry > Watches > Pocket Watches,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531607_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531607_wwii-nsdap-flag-pin-and-pocket-watch-troddel-fobs,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN FLAG W COGGED BOTTOM NSDAP WW2,"Apr 17, 2021",$270,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531624_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531624_wwii-nazi-german-flag-w-cogged-bottom-nsdap-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP WALL FLAG WW2,"Apr 17, 2021",$280,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531625_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531625_wwii-nazi-german-nsdap-wall-flag-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP FLAG 48X30 WW2,"Apr 17, 2021",$250,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531626_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531626_wwii-nazi-german-nsdap-flag-48x30-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP FLAG OR WALL BANNER WW2,"Apr 17, 2021",$250,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531627_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531627_wwii-nazi-german-nsdap-flag-or-wall-banner-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP WALL BANNER FLAG WW2,"Apr 17, 2021",$200,Collectibles > Historical Memorabilia > Political Memorabilia,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531682_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531682_wwii-nazi-german-nsdap-wall-banner-flag-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN KRIEGSMARINE SPORT SHIRT EAGLE S,"Apr 17, 2021",$290,Collectibles,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531750_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531750_wwii-nazi-german-kriegsmarine-sport-shirt-eagle-s,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN KRIEGSMARINE SPORT SHIRT EAGLE S,"Apr 17, 2021",$270,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531751_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531751_wwii-nazi-german-kriegsmarine-sport-shirt-eagle-s,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN KRIEGSMARINE SPORT SHIRT EAGLE S,"Apr 17, 2021",$300,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531753_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531753_wwii-nazi-german-kriegsmarine-sport-shirt-eagle-s,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN WINE OR CHAMPAGNE COOLER WW2,"Apr 17, 2021",$325,Collectibles,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531769_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531769_wwii-nazi-german-wine-or-champagne-cooler-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI ADOLF HITLER MUSSOLINI CIGARETTE CASE,"Apr 17, 2021",$210,Collectibles > Tobacciana > Cigarette Cases &amp; Cigarette Holders,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531773_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531773_wwii-nazi-adolf-hitler-mussolini-cigarette-case,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN DURCH KAMPF ZUM SIEG ASHTRAY WW2,"Apr 17, 2021",$210,Collectibles > Tobacciana > Ashtrays,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531775_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531775_wwii-nazi-german-durch-kampf-zum-sieg-ashtray-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN DEUTSCHE JAGERSCHAFT BADGE DACHAU,"Apr 17, 2021",$500,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531778_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531778_wwii-nazi-german-deutsche-jagerschaft-badge-dachau,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN HORSESHOE TABLE DECORATION WW2,"Apr 17, 2021",$110,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531782_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531782_wwii-nazi-german-horseshoe-table-decoration-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN RDH BRONZE PLAQUE EAGLE SWASTIKA,"Apr 17, 2021",$240,Collectibles,Internet Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531786_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531786_wwii-nazi-german-rdh-bronze-plaque-eagle-swastika,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN LUFTWAFFE PILOT BADGE WW2,"Apr 17, 2021",$475,Fashion > Women's Clothing,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531814_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531814_wwii-nazi-german-luftwaffe-pilot-badge-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP ARMBAND LOT OF 3 WW2,"Apr 17, 2021",$250,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100531963_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100531963_wwii-nazi-german-nsdap-armband-lot-of-3-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI VETERAN'S ORGANIZATION FUNERAL SASH WW2,"Apr 17, 2021",$140,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100532017_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100532017_wwii-nazi-veteran-s-organization-funeral-sash-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI GERMAN NSDAP FUNERAL SASH WW2,"Apr 17, 2021",$150,Collectibles,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100532018_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100532018_wwii-nazi-german-nsdap-funeral-sash-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
WWII NAZI NSDAP GERMAN LOT OF 3 NAZI FLAGS WW2,"Apr 17, 2021",$280,Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/198899/100532027_1_x.jpg?quality=80&version=1616982336,https://www.liveauctioneers.com/item/100532027_wwii-nazi-nsdap-german-lot-of-3-nazi-flags-ww2,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
Sword And Swastika: Generals and Nazis in the Third,"Apr 08, 2021",$10,Collectibles > Weapons &amp; Armor,Internet Bid,Rapid Estate Liquidators and Auction Gallery,https://p1.liveauctioneers.com/6056/199050/100584178_1_x.jpg?quality=80&version=1617053048,https://www.liveauctioneers.com/item/100584178_sword-and-swastika-generals-and-nazis-in-the-third,https://www.liveauctioneers.com/auctioneer/6056/rapid-estate-liquidators-and-auction-gallery/
WWII GERMAN STALINGRAD TRENCH ART TRINKET BOX,"Apr 24, 2021",$80,Jewelry,Competing Bid,Antique Arena Inc.,https://p1.liveauctioneers.com/6975/199311/100814403_1_x.jpg?quality=80&version=1617278432,https://www.liveauctioneers.com/item/100814403_wwii-german-stalingrad-trench-art-trinket-box,https://www.liveauctioneers.com/auctioneer/6975/antique-arena-inc/
WWII German Nazi Political Leader's Uniform,"Apr 17, 2021","$1,900",Collectibles > Historical Memorabilia > Political Memorabilia,Competing Bid,Donley Auctions,https://p1.liveauctioneers.com/4221/199126/100833873_1_x.jpg?quality=80&version=1617307983,https://www.liveauctioneers.com/item/100833873_wwii-german-nazi-political-leader-s-uniform,https://www.liveauctioneers.com/auctioneer/4221/donley-auctions/
3pc - Nazi black Iron  cross pendant,"Oct 29, 2011",$85,,Competing Bid,Harrison Auctions Inc,https://p1.liveauctioneers.com/897/26850/10088147_1_x.jpg?quality=80&version=1318627596,https://www.liveauctioneers.com/item/10088147_1796-3pc-nazi-black-iron-cross-pendant,https://www.liveauctioneers.com/auctioneer/897/harrison-auctions-inc/
Lot of World War II &amp; Nazi Memorabilia,"Nov 12, 2011",$250,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,Gulfcoast Coin &amp; Jewelry ,https://p1.liveauctioneers.com/899/26858/10090621_1_x.jpg?quality=80&version=1318624550,https://www.liveauctioneers.com/item/10090621_219-lot-of-world-war-ii-and-nazi-memorabilia,https://www.liveauctioneers.com/auctioneer/899/gulfcoast-coin-and-jewelry/
"2 Hi-Grade German 1934 2,5 Mark Silver Coins w/Swastika","Oct 22, 2011",$31,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093299_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093299_2-hi-grade-german-1934-2-5-mark-silver-coins-wswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL GOLD TONE NAZI POLITICIANS TUNIC BUTTON,"Oct 22, 2011",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093302_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093302_original-gold-tone-nazi-politicians-tunic-button,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI 1935 TAG DER ARBEIT-WORKERS DAY-SWASTIKA,"Oct 22, 2011",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093338_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093338_original-nazi-1935-tag-der-arbeit-workers-day-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi German Red Cross Badge Pin CTD Original,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093347_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093347_wwii-nazi-german-red-cross-badge-pin-ctd-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
BLACK NAZI WOUND BADGE-HELMET/SWASTIKA CROSSED SWORDS,"Oct 22, 2011",$75,,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093360_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093360_black-nazi-wound-badge-helmetswastika-crossed-swords,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Luftwaffe Eagle &amp; Swastika Patch Original,"Oct 22, 2011",$65,,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093373_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093373_wwii-nazi-luftwaffe-eagle-and-swastika-patch-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi SA Belt Buckle Sturmabteilung Orig,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093407_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093407_wwii-nazi-sa-belt-buckle-sturmabteilung-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"WWII Nazi Germany Sports Badge w/ Swastika, Sword","Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093428_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093428_wwii-nazi-germany-sports-badge-w-swastika-sword,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Germany Silver Eagle &amp; Swastika Ring,"Oct 22, 2011",$250,Jewelry,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/26863/10093439_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10093439_wwii-nazi-germany-silver-eagle-and-swastika-ring,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIG NAZI 1938 MAY DAY MEDAL ROBINSON-OBERSTEIN-NAHE,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117549_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117549_orig-nazi-1938-may-day-medal-robinson-oberstein-nahe,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"EARLY NAZI STORMTROOPER'S BADGE-SWASTIKA, LAUREL -RARE","Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117551_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117551_early-nazi-stormtrooper-s-badge-swastika-laurel-rare,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI 1935 TAG DER ARBEIT MEDAL -MAKER MARKED,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117560_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117560_original-nazi-1935-tag-der-arbeit-medal-maker-marked,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1936 NAZI 5RM COIN-EAGLE SWASTIKA HINDENBURG 90% SILVER,"Oct 22, 2011",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117563_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117563_1936-nazi-5rm-coin-eagle-swastika-hindenburg-90-silver,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI MAY DAY 1939 MEDAL-EAGLE/SWASTIKA -MAKER MARKED,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117569_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117569_nazi-may-day-1939-medal-eagleswastika-maker-marked,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI HITLER YOUTH MEMBERSHIP BADGE-FOREIGN HJ,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117570_1_x.jpg?quality=80&version=1319037207,https://www.liveauctioneers.com/item/10117570_wwii-nazi-hitler-youth-membership-badge-foreign-hj,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI PERIOD IRON CROSS WITH LAUREL LEAVES,"Oct 22, 2011",$40,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117571_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117571_original-nazi-period-iron-cross-with-laurel-leaves,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"ORIGINAL WWII NAZI ""ARBEITSBUCH""  TO POLISH WORKER","Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117574_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117574_original-wwii-nazi-arbeitsbuch-to-polish-worker,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI ORIG RED CROSS MEDAL-DEUTCHES ROTES KREUZ-SWASTIKA,"Oct 22, 2011",,,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117586_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117586_nazi-orig-red-cross-medal-deutches-rotes-kreuz-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI INFANTRY ASSAULT AWARD BADGE MEDAL,"Oct 22, 2011",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/26863/10117587_1_x.jpg?quality=80&version=1318637396,https://www.liveauctioneers.com/item/10117587_original-nazi-infantry-assault-award-badge-medal,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
