nazi_listings,auctioneer_url,lat,lng,address,city,zip,state
36,https://www.liveauctioneers.com/auctioneer/456/bs-slosberg-inc-auctioneers/,39.9873,-75.0957,3455 Edgemont St,Philadelphia,19134,PA
34,https://www.liveauctioneers.com/auctioneer/3514/j-james-auctioneers-and-appraisers/,41.9655,-70.677,190 Court St,Plymouth,2360,MA
34,https://www.liveauctioneers.com/auctioneer/6203/poulin-antiques-and-auctions/,44.615,-69.5939,199 U.S. 201,Fairfield,4937,ME
33,https://www.liveauctioneers.com/auctioneer/1125/rock-island-auction/,41.4432,-90.625,7819 42nd Street W,Rock Island,61201,IL
33,https://www.liveauctioneers.com/auctioneer/376/todd-mueller-autographs-inc/,38.9811,-104.681,10250 Huntsman Road ,Colorado Springs,80908,CO
32,https://www.liveauctioneers.com/auctioneer/1350/vero-beach-auction/,27.6108,-80.3893,492 Old Dixie Highway,Vero Beach,32962,FL
30,https://www.liveauctioneers.com/auctioneer/135/signature-house/,34.10426,-117.668943,818 N. MOUNTAIN AVE #201,UPLAND,91786,CA
29,https://www.liveauctioneers.com/auctioneer/3370/blackswan-antiques/,42.525,-83.5504,50586 PONTIAC TRAIL SUITE XC16,WIXOM,48393,MI
29,https://www.liveauctioneers.com/auctioneer/1087/merrill-s-auctioneers-and-appraisers/,44.4751,-73.1163,PO Box 558,Williston,5495,VT
29,https://www.liveauctioneers.com/auctioneer/378/pook-and-pook-inc/,40.011951,-75.695341,463 East Lancaster Ave.,Downingtown,19335,PA
27,https://www.liveauctioneers.com/auctioneer/46/cowan-s-auctions/,39.1635,-84.4134,5030 Oaklawn Dr,Cincinnati,45227,OH
27,https://www.liveauctioneers.com/auctioneer/5577/house-of-treasure/,39.0221,-77.41,45969 Nokes Blvd,Sterling,20166,VA
26,https://www.liveauctioneers.com/auctioneer/1121/manor-auctions/,27.6422,-80.4601,6200 20th St. Ste 504,Vero Beach,32966,FL
26,https://www.liveauctioneers.com/auctioneer/991/hamilton-s-antique-auction-gallery/,47.1311,-122.433,505 Puyallup Ave,Tacoma,98421,WA
25,https://www.liveauctioneers.com/auctioneer/1120/premiere-props/,41.5105,-90.5042,128 Sierra Street,El Segundo,90245,CA
25,https://www.liveauctioneers.com/auctioneer/171/soulis-auctions/,38.874,-94.1892,529 W. Lone Jack-Lee's Summit Rd P.O. Box 17,Lone Jack,64070,MO
25,https://www.liveauctioneers.com/auctioneer/5173/matthew-bullock-auctioneers/,41.3788,-88.8345,421 East Stevenson Road,Ottawa,61350,IL
23,https://www.liveauctioneers.com/auctioneer/4778/freedom-auction-company/,27.3818,-82.5387,1601 DESOTO ROAD,Sarasota,34234,FL
23,https://www.liveauctioneers.com/auctioneer/6579/the-archive-auction-llc/,40.2476,-75.2911,725 West 2nd Street,Lansdale,19446,PA
23,https://www.liveauctioneers.com/auctioneer/321/fusco-auctions/,41.6367,-81.4082,4740 Beidler Rd. Rear,Willoughby,44094,OH
23,https://www.liveauctioneers.com/auctioneer/1962/antiques-and-art-by-imeon/,30.0073,-95.4556,6106 Knotty Post,Houston,77069,TX
